t,fe0,fe3,x,y,z,b,vel,spindle_on,spindle_rpm
44.182,0.005000,0.004400,-3729.3750,-1233.5720,-159.2540,50425.325,0.6350,1,5675
44.382,0.005000,0.004400,-3729.3750,-1233.4480,-159.2540,50434.738,0.6350,1,5675
44.584,0.005000,0.004400,-3729.3750,-1233.3200,-159.2540,50444.383,0.6350,1,5675
44.785,-0.005000,-0.005600,-3729.3650,-1233.1920,-159.2502,50454.126,0.6350,1,5675
44.986,-0.005000,-0.005600,-3729.3650,-1233.0640,-159.2489,50463.965,0.6350,1,5675
45.187,0.000000,0.004400,-3729.3700,-1232.9400,-159.2502,50473.181,0.6350,1,5675
45.387,0.000000,0.004400,-3729.3700,-1232.8120,-159.2502,50482.971,0.6350,1,5675
45.588,0.000000,0.004400,-3729.3700,-1232.6840,-159.2489,50492.814,0.6350,1,5675
45.788,0.000000,0.004400,-3729.3700,-1232.5600,-159.2502,50502.078,0.6350,1,5675
45.989,0.000000,0.004400,-3729.3700,-1232.4280,-159.2502,50511.918,0.6350,1,5675
46.189,0.000000,0.004400,-3729.3700,-1232.3000,-159.2515,50521.709,0.6350,1,5675
46.390,0.005000,0.004400,-3729.3750,-1232.1840,-159.2528,50530.975,0.6350,1,5675
46.590,0.005000,0.004400,-3729.3750,-1232.0560,-159.2528,50540.863,0.6350,1,5675
46.791,0.005000,0.004400,-3729.3750,-1231.9240,-159.2528,50550.606,0.6350,1,5675
46.991,0.005000,-0.000600,-3729.3750,-1231.8040,-159.2528,50559.821,0.6350,1,5675
47.192,0.005000,-0.000600,-3729.3750,-1231.6680,-159.2515,50569.614,0.6350,1,5675
47.392,0.005000,-0.000600,-3729.3750,-1231.5440,-159.2528,50579.406,0.6350,1,5675
47.593,0.005000,0.004400,-3729.3750,-1231.4200,-159.2528,50588.718,0.6350,1,5675
47.793,0.005000,0.004400,-3729.3750,-1231.2880,-159.2528,50598.509,0.6350,1,5675
47.994,0.005000,0.004400,-3729.3750,-1231.1520,-159.2528,50608.254,0.6350,1,5675
48.194,0.005000,0.004400,-3729.3750,-1231.0280,-159.2528,50617.756,0.6350,1,5675
48.395,0.005000,0.004400,-3729.3750,-1230.9040,-159.2540,50627.452,0.6350,1,5675
48.595,0.005000,0.004400,-3729.3750,-1230.7760,-159.2540,50637.248,0.6350,1,5675
48.796,0.005000,-0.000600,-3729.3750,-1230.6480,-159.2540,50646.654,0.6350,1,5675
48.996,0.005000,-0.000600,-3729.3750,-1230.5160,-159.2540,50656.398,0.6350,1,5675
49.197,0.005000,-0.000600,-3729.3750,-1230.3880,-159.2540,50666.142,0.6350,1,5675
49.397,0.005000,-0.000600,-3729.3750,-1230.2640,-159.2540,50675.502,0.6350,1,5675
49.598,0.005000,-0.000600,-3729.3750,-1230.1360,-159.2528,50685.198,0.6350,1,5675
49.799,0.005000,0.004400,-3729.3750,-1230.0040,-159.2528,50694.989,0.6350,1,5675
49.999,0.005000,0.004400,-3729.3750,-1229.8840,-159.2540,50704.253,0.6350,1,5675
50.199,0.005000,0.004400,-3729.3750,-1229.7560,-159.2540,50713.999,0.6350,1,5675
50.400,0.005000,-0.000600,-3729.3750,-1229.6280,-159.2528,50723.836,0.6350,1,5675
50.601,0.005000,-0.000600,-3729.3750,-1229.5080,-159.2528,50733.103,0.6350,1,5675
50.801,0.005000,-0.000600,-3729.3750,-1229.3800,-159.2515,50742.798,0.6350,1,5675
51.002,0.005000,-0.000600,-3729.3750,-1229.2560,-159.2515,50752.493,0.6350,1,5675
51.202,0.005000,0.004400,-3729.3750,-1229.1280,-159.2515,50762.189,0.6350,1,5675
