# t_epoch pid.x.err pid.y.err pid.z.err pid.w.err joint2.ferr joint2.posfb joint4.posfb j2.blash-filt j3.blash-filt
1786042794.640 -0.005 -0.004 -0.005079997 -0.005 -0.005079997 -423.7986 -0.0088 0 -0.0126 
1786042794.802 -0.005 -0.004 -0.005079997 -0.005 -0.005079997 -423.7986 -0.0088 0 -0.0126 
1786042794.985 -0.005 -0.004 -0.005079997 -0.005 -0.005079997 -423.7986 -0.0088 0 -0.0126 
1786042795.149 -0.005 -0.004 -0.005079997 -0.005 -0.005079997 -423.7986 -0.0088 0 -0.0126 
1786042795.306 -0.005 -0.004 -0.005079997 -0.005 -0.005079997 -423.7986 -0.0088 0 -0.0126 
1786042795.466 -0.005 -0.004 -0.005079997 -0.005 -0.005079997 -423.7986 -0.0088 0 -0.0126 
1786042795.623 -0.005 -0.004 -0.005079997 -0.005 -0.005079997 -423.7986 -0.0088 0 -0.0126 
1786042795.781 -0.005 -0.004 -0.003809998 -0.005 -0.003809998 -423.7999 -0.0088 0 -0.0126 
1786042795.953 -0.005 -0.004 -0.003809998 -0.005 -0.003809998 -423.7999 -0.0088 0 -0.0126 
1786042796.119 -0.005 -0.004 -0.003809998 -0.005 -0.003809998 -423.7999 -0.0088 0 -0.0126 
1786042796.283 -0.005 -0.004 -0.003809998 -0.005 -0.003809998 -423.7999 -0.0088 0 -0.0126 
1786042796.446 -0.005 -0.004 -0.003809998 -0.005 -0.003809998 -423.7999 -0.0088 0 -0.0126 
1786042796.612 -0.005 -0.004 -0.003809998 -0.005 -0.003809998 -423.7999 -0.0088 0 -0.0126 
1786042796.789 -0.005 -0.004 -0.003809998 -0.005 -0.003809998 -423.7999 -0.0088 0 -0.0126 
1786042796.961 -0.005 -0.004 -0.003809998 -0.005 -0.003809998 -423.7999 -0.0088 0 -0.0126 
1786042797.121 -0.005 -0.004 -0.003809998 -0.005 -0.003809998 -423.7999 -0.0088 0 -0.0126 
1786042797.289 -0.005 -0.004 -0.003809998 -0.005 -0.003809998 -423.7999 -0.0088 0 -0.0126 
1786042797.447 -0.005 -0.004 -0.003809998 -0.005 -0.003809998 -423.7999 -0.0088 0 -0.0126 
1786042797.607 -0.005 1.891751e-13 -0.003809998 -0.005 -0.003809998 -423.7999 -0.0088 0 -0.0126 
1786042797.767 -0.005 1.891751e-13 -0.003809998 -0.005 -0.003809998 -423.7999 -0.0088 0 -0.0126 
1786042797.935 -0.005 1.891751e-13 -0.003809998 -0.005 -0.003809998 -423.7999 -0.0088 0 -0.0126 
1786042798.098 -0.005 1.891751e-13 -0.002539999 -0.005 -0.002539999 -423.8012 -0.0088 0 -0.0126 
1786042798.256 -0.005 1.891751e-13 -0.002539999 -0.005 -0.002539999 -423.8012 -0.0088 0 -0.0126 
1786042798.414 -0.005 1.891751e-13 -0.001269999 -0.005 -0.001269999 -423.8024 -0.0088 0 -0.0126 
1786042798.572 -0.005 1.891751e-13 -0.001269999 -0.005 -0.001269999 -423.8024 -0.0088 0 -0.0126 
1786042798.738 -0.005 1.891751e-13 -0.001269999 -0.005 -0.001269999 -423.8024 -0.0088 0 -0.0126 
1786042798.897 -0.005 1.891751e-13 -0.001269999 -0.005 -0.001269999 -423.8024 -0.0088 0 -0.0126 
1786042799.058 -0.005 1.891751e-13 -0.001269999 -0.005 -0.001269999 -423.8024 -0.0088 0 -0.0126 
